,sent1,sent2,label,referent,pronoun
1,The boys ate the cookies,They were hungry,0,boys,They
2,The boys ate the cookies,They looked tasty,1,cookies,They
3,The boys ate the cookies,They looked starving,0,boys,They
4,The boys ate the cookies,They were delicious,1,cookies,They
5,The boys ate the pancakes,They looked hungry,0,boys,They
6,The boys ate the pancakes,They were tasty,1,pancakes,They
7,The boys ate the pancakes,They were starving,0,boys,They
8,The boys ate the pancakes,They looked delicious,1,pancakes,They
9,The boys loved the cookies,They were hungry,0,boys,They
10,The boys loved the cookies,They looked tasty,1,cookies,They
11,The boys loved the cookies,They looked starving,0,boys,They
12,The boys loved the cookies,They were delicious,1,cookies,They
13,The boys loved the pancakes,They looked hungry,0,boys,They
14,The boys loved the pancakes,They were tasty,1,pancakes,They
15,The boys loved the pancakes,They were starving,0,boys,They
16,The boys loved the pancakes,They looked delicious,1,pancakes,They
17,The boys enjoyed the cookies,They were hungry,0,boys,They
18,The boys enjoyed the cookies,They looked tasty,1,cookies,They
19,The boys enjoyed the cookies,They looked starving,0,boys,They
20,The boys enjoyed the cookies,They were delicious,1,cookies,They
21,The boys enjoyed the pancakes,They looked hungry,0,boys,They
22,The boys enjoyed the pancakes,They were tasty,1,pancakes,They
23,The boys enjoyed the pancakes,They were starving,0,boys,They
24,The boys enjoyed the pancakes,They looked delicious,1,pancakes,They
25,The girls ate the cookies,They were hungry,0,girls,They
26,The girls ate the cookies,They looked tasty,1,cookies,They
27,The girls ate the cookies,They looked starving,0,girls,They
28,The girls ate the cookies,They were delicious,1,cookies,They
29,The girls ate the pancakes,They looked hungry,0,girls,They
30,The girls ate the pancakes,They were tasty,1,pancakes,They
31,The girls ate the pancakes,They were starving,0,girls,They
32,The girls ate the pancakes,They looked delicious,1,pancakes,They
33,The girls loved the cookies,They were hungry,0,girls,They
34,The girls loved the cookies,They looked tasty,1,cookies,They
35,The girls loved the cookies,They looked starving,0,girls,They
36,The girls loved the cookies,They were delicious,1,cookies,They
37,The girls loved the pancakes,They looked hungry,0,girls,They
38,The girls loved the pancakes,They were tasty,1,pancakes,They
39,The girls loved the pancakes,They were starving,0,girls,They
40,The girls loved the pancakes,They looked delicious,1,pancakes,They
41,The girls enjoyed the cookies,They were hungry,0,girls,They
42,The girls enjoyed the cookies,They looked tasty,1,cookies,They
43,The girls enjoyed the cookies,They looked starving,0,girls,They
44,The girls enjoyed the cookies,They were delicious,1,cookies,They
45,The girls enjoyed the pancakes,They looked hungry,0,girls,They
46,The girls enjoyed the pancakes,They were tasty,1,pancakes,They
47,The girls enjoyed the pancakes,They were starving,0,girls,They
48,The girls enjoyed the pancakes,They looked delicious,1,pancakes,They
49,The children ate the cookies,They were hungry,0,children,They
50,The children ate the cookies,They looked tasty,1,cookies,They
51,The children ate the cookies,They looked starving,0,children,They
52,The children ate the cookies,They were delicious,1,cookies,They
53,The children ate the pancakes,They looked hungry,0,children,They
54,The children ate the pancakes,They were tasty,1,pancakes,They
55,The children ate the pancakes,They were starving,0,children,They
56,The children ate the pancakes,They looked delicious,1,pancakes,They
57,The children loved the cookies,They were hungry,0,children,They
58,The children loved the cookies,They looked tasty,1,cookies,They
59,The children loved the cookies,They looked starving,0,children,They
60,The children loved the cookies,They were delicious,1,cookies,They
61,The children loved the pancakes,They looked hungry,0,children,They
62,The children loved the pancakes,They were tasty,1,pancakes,They
63,The children loved the pancakes,They were starving,0,children,They
64,The children loved the pancakes,They looked delicious,1,pancakes,They
65,The children enjoyed the cookies,They were hungry,0,children,They
66,The children enjoyed the cookies,They looked tasty,1,cookies,They
67,The children enjoyed the cookies,They looked starving,0,children,They
68,The children enjoyed the cookies,They were delicious,1,cookies,They
69,The children enjoyed the pancakes,They looked hungry,0,children,They
70,The children enjoyed the pancakes,They were tasty,1,pancakes,They
71,The children enjoyed the pancakes,They were starving,0,children,They
72,The children enjoyed the pancakes,They looked delicious,1,pancakes,They